workload	sample	cell	wall_seconds	cpu_seconds	peak_rss_kib	allocated_bytes	transcript_sha256
state-thread	1	C1	4.901434	4.650000	4911924	11709864	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	B2	2.967521	3.050000	3551176	13299168	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	B1	4.841240	4.600000	4914536	11708976	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	C2	3.006547	3.130000	3543624	13295816	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	C4	3.486266	4.020000	4751536	14556248	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	B4	2.956716	3.010000	3580068	13328104	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
continuation	1	B2	2.928459	3.030000	3525780	19371568	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	C2	2.909203	3.030000	3491432	19375472	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	C1	4.792093	4.570000	4912520	17780520	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	B4	3.064484	3.100000	3598900	19394656	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	B1	4.853213	4.600000	4911448	17781280	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	C4	3.514090	4.000000	4694948	20621944	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	C2	2.933628	2.940000	3530364	19371368	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	B4	3.028066	3.190000	3578992	19397216	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	B2	2.977296	3.020000	3558168	19368240	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	C4	3.488761	3.960000	4736128	20614240	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	C1	4.868712	4.630000	4913788	17780488	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	B1	4.806432	4.570000	4912144	17779568	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
state-thread	2	B2	2.961936	2.980000	3558408	13299288	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	2	C2	2.967668	3.040000	3543880	13296560	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
